date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
16/10/2018,14,9.7,20.8,0,0,47,3.1,16.7,1018,
17/10/2018,13.1,8.4,20.1,0,0,46,4.1,16.7,1018.4,
18/10/2018,13.1,9.1,18.1,0,0,43,7.3,24.1,1018.4,
19/10/2018,10.9,8.3,15.2,0,0,42,6.5,18.5,1021.1,
20/10/2018,11.7,9,16.2,0,0,43,4.8,14.8,1026.7,
21/10/2018,9.4,5.4,14.3,0,0,45,7.1,25.9,1026.7,
22/10/2018,7.4,2.7,12.8,0,,41,6.5,20.4,1027.2,
23/10/2018,9.7,3.9,13.6,0.1,0,305,5.5,20.4,1029.9,
24/10/2018,11.6,9.2,15.2,0,0,261,6.5,24.1,1027.6,
25/10/2018,11.4,7.7,17.2,0,0,318,3.5,16.7,1022,
26/10/2018,10.1,7.6,15,4.5,0,282,4.8,22.2,1013.5,
27/10/2018,5.3,2.8,7.9,24.2,0,21,6.2,27.8,1009,
28/10/2018,2,0.5,2.8,1.3,0,45,10.4,31.5,1005.3,
29/10/2018,4.1,2.2,8.9,15.4,0,49,8.7,33.3,997.8,
30/10/2018,4.2,2.2,7.7,3,0,229,14.6,57.4,999.9,
31/10/2018,5.1,1.7,8.4,0,0,58,7.2,25.9,1014.3,
01/11/2018,8,3.9,13,0,0,284,5.5,25.9,1014.6,
02/11/2018,8.9,6.3,11.9,0,0,29,3.3,14.8,1022,
03/11/2018,9.4,7.4,11.9,0,0,41,7.2,25.9,1025.2,
04/11/2018,8.3,6.7,9.1,0,0,51,5.2,18.5,1017.3,
05/11/2018,8.8,7,13.1,0,0,50,5,13,1010.1,
06/11/2018,9.9,7.5,13.1,0,0,0,6.1,24.1,1009,
07/11/2018,9.2,5.3,13.8,0.4,0,269,3.9,16.7,1013.4,
08/11/2018,9.6,7.4,12.9,0,0,29,4.5,18.5,1020.2,
09/11/2018,8.5,6.6,13.1,0,0,42,3.9,13,1016.7,
10/11/2018,8.2,6.4,10.5,0.9,0,342,4.2,14.8,1012.8,
11/11/2018,10.4,8,14.4,1.4,0,55,4.1,16.7,1014.6,
12/11/2018,10,5.6,16.4,0.2,0,26,4.2,16.7,1019.3,
13/11/2018,8.8,6.7,10.4,2.6,0,225,4.3,18.5,1028.1,
14/11/2018,6.5,5.4,7.5,0.1,0,48,4.2,14.8,1030.2,
15/11/2018,5.8,5,6.8,0.1,0,58,4.2,13,1027.4,
16/11/2018,4,2.6,4.9,0,0,49,6.7,22.2,1027.3,
17/11/2018,2.8,0.7,5.3,0,,47,9,27.8,1025.6,
18/11/2018,-0.1,-1.4,1,0,0,43,8.4,24.1,1023.1,
19/11/2018,0.2,-0.5,1.1,0,0,44,11.1,38.9,1011.7,
20/11/2018,-0.2,-1.9,1.3,0,,43,7.5,24.1,1007,
21/11/2018,-0.3,-1.5,0.7,0.5,0,30,5,18.5,1014.6,
22/11/2018,1.1,-0.1,2.9,0,,46,3.6,13,1020,
23/11/2018,1,-0.5,2.2,0.1,0,46,4.8,16.7,1019.1,
24/11/2018,5.3,2.2,9.5,0.1,0,213,5.1,18.5,1014.8,
25/11/2018,1.6,-0.7,2.9,0,0,48,3.8,13,1009.9,
26/11/2018,2.3,1.4,3.3,5.6,0,23,4.8,14.8,1007.6,
27/11/2018,2.3,1.2,2.9,1.9,,285,3.6,13,1019.1,
28/11/2018,2.2,0.2,3.9,0,0,73,3.9,11.1,1024.5,
29/11/2018,2.8,0.3,4.7,0,0,77,3,11.1,1021.6,
30/11/2018,5.1,2.5,6.5,3.1,0,222,4.8,14.8,1018.2,
01/12/2018,5.7,4.6,8.5,0.6,0,210,5.5,16.7,1019.3,
02/12/2018,6.8,5.1,8.4,33.7,0,220,12.6,44.5,1013.4,
03/12/2018,10.8,8.7,13,15.2,0,229,21.2,59.3,1011.7,
04/12/2018,7.9,5.2,10.1,5.3,0,237,14,61.1,1020.9,
05/12/2018,6.2,5.3,7.6,2.7,0,77,3.7,11.1,1024.8,
06/12/2018,8.6,6.6,10.9,0.8,0,222,8.1,24.1,1022.8,
07/12/2018,9.2,4.8,11.4,4.3,0,228,15.3,77.8,1018.1,
08/12/2018,5.8,3.9,7.8,4.5,0,235,27.6,72.2,1017.4,
09/12/2018,6.1,3.7,9,12.4,0,240,34.7,96.3,1012.1,
10/12/2018,3.5,1.5,5,5.6,0,247,14.7,48.2,1024.4,
11/12/2018,1.1,-2,3.9,0,0,281,5.2,25.9,1025.9,
12/12/2018,-1.1,-3.3,1.9,0,0,53,7.7,27.8,1022.9,
13/12/2018,-1.3,-3.3,1.4,0,0,52,9.5,27.8,1016.4,
14/12/2018,-2.1,-2.7,-1.1,0,0,45,8.7,25.9,1019.4,
15/12/2018,-2.6,-4.6,-1.1,7.9,0,49,6.7,22.2,1024.1,
16/12/2018,0.1,-2.9,2.4,0,60,126,5.5,22.2,1016.4,
17/12/2018,1.8,-0.5,4,0,20,251,6,22.2,1024,
18/12/2018,-0.8,-2.3,1.6,0,10,87,3.7,13,1027.1,
19/12/2018,1.5,-1.4,3.6,2.9,0,216,3.8,18.5,1020.4,
20/12/2018,4.9,2.8,6.8,0,0,224,10.3,38.9,1020.4,
21/12/2018,6.3,3,9.8,17.4,0,226,21.1,70.4,1019.9,
22/12/2018,9.7,7.6,11,7.1,0,238,28.2,75.9,1021.6,
23/12/2018,8.6,7.4,10,29.6,0,235,20.2,74.1,1025.5,
24/12/2018,5.8,0,10,5.8,0,317,14.8,70.4,1027.5,
25/12/2018,-0.1,-1.4,0.9,0,0,54,4.8,14.8,1036.2,
26/12/2018,-0.9,-1.9,1,0,0,56,3.2,11.1,1034.7,
27/12/2018,-1.2,-2.4,1.4,0,0,118,2.8,9.3,1030.5,
28/12/2018,0.6,-1.7,4.7,0,0,219,2.7,9.3,1030.7,
29/12/2018,0.1,-0.6,0.9,0,0,256,3.4,16.7,1035.3,
30/12/2018,2.2,0.2,3.6,1.2,0,232,5.7,18.5,1036.5,
31/12/2018,3.8,2.6,4.8,0.7,0,170,2.8,9.3,1035.7,
01/01/2019,3.6,3,4.5,0.7,0,246,6.5,31.5,1033.3,
02/01/2019,1.3,-2.7,4.1,3,0,279,8.3,33.3,1034.9,
03/01/2019,-2.2,-4.9,-0.3,0,10,42,4.6,18.5,1038.8,
04/01/2019,-0.8,-3.7,1.6,0,10,30,4.6,16.7,1037.7,
05/01/2019,0,-1.3,1.4,6.6,10,232,8.9,27.8,1034.8,
06/01/2019,1.1,0.6,1.6,5.7,40,239,8.5,22.2,1034.1,
07/01/2019,1.3,0.6,2.1,0.6,20,289,3.9,16.7,1034.3,
08/01/2019,1.7,0,2.9,3.6,10,235,18.6,51.8,1025,
09/01/2019,0.2,-2.5,1.9,2.5,10,268,11.7,42.6,1018.3,
10/01/2019,-1.8,-3,-0.9,5.1,20,337,4.1,14.8,1023.6,
11/01/2019,-2.1,-4,-0.6,1.6,100,197,5.6,18.5,1027.9,
12/01/2019,0.7,-1.5,3.2,5.2,110,227,11.2,48.2,1026.7,
13/01/2019,3.2,0.9,5.7,16.5,,235,28,81.5,1016.4,
14/01/2019,3.3,0.1,5.2,3.6,,253,17.2,74.1,1015.3,
15/01/2019,1.4,-1.1,4.4,0,10,232,4.9,18.5,1024.5,
16/01/2019,1.6,-1.9,5.9,0,0,207,4.4,22.2,1017.8,
17/01/2019,4.5,2,6.9,0.8,0,235,18.1,53.7,1012.4,
18/01/2019,-0.4,-3.1,1.6,0,,4,7.5,38.9,1019.7,
19/01/2019,-2.8,-4.9,0.7,0,0,65,4.6,16.7,1017.1,
20/01/2019,-1.6,-4.3,1.7,0,0,55,3.5,13,1015.9,
21/01/2019,-0.8,-2.5,1.9,0,0,37,4.2,14.8,1020.2,
22/01/2019,-1.9,-3.3,-1.2,0,0,60,3,11.1,1013.1,
23/01/2019,-3.2,-5.7,-0.9,0,0,73,4.2,16.7,999.5,
24/01/2019,-2.7,-3.6,-1.8,0.1,0,318,4.6,14.8,1008.6,
25/01/2019,-2.6,-5.1,0.6,0.8,0,229,4.1,13,1018.4,
26/01/2019,0.4,-2.5,3,0.1,50,218,8.9,29.6,1016.6,
27/01/2019,2.9,0.1,6.1,3.4,0,223,13.5,55.5,999.4,
28/01/2019,0.4,-0.4,1.6,1.5,10,237,23.9,61.1,1002.4,
29/01/2019,-0.1,-2.7,2.6,0,0,213,7.5,37,1008,
30/01/2019,0.1,-2.5,3.7,0.2,0,231,13.7,63,999.3,
31/01/2019,-1.1,-3.6,1.5,0.1,10,149,5.1,16.7,999.1,
01/02/2019,2.2,0.1,4.8,3.5,0,358,4.7,16.7,992.5,
02/02/2019,1.6,0.6,3.1,6.7,0,279,4.4,13,997,
03/02/2019,0.2,-1.1,2.2,11.7,30,316,4.5,14.8,1015.2,
04/02/2019,-1.8,-4.2,0.3,0,60,51,5.1,16.7,1029.4,
05/02/2019,-2.8,-4.2,-1.7,0,50,78,2.9,13,1030.4,
06/02/2019,-3.3,-4.6,-1.9,0,30,99,2.8,9.3,1029,
